1	1	0.99	1.01
60	1.01	1	1.02
120	1.01	0.99	1.01
180	1	0.99	1.01
240	1	1	1.02
300	1	0.99	1
360	1	0.99	1.01
420	0.99	0.98	1
480	1	0.99	1.01
540	1	0.99	1.01
600	0.94	0.89	0.99
660	0.88	0.85	0.9
720	0.77	0.73	0.79
780	0.77	0.73	0.82
840	0.68	0.63	0.76
900	0.77	0.72	0.8
960	0.75	0.71	0.79
1020	0.76	0.64	0.8
1080	0.76	0.72	0.8
1140	0.79	0.74	0.84
1200	0.85	0.81	0.89
1260	0.85	0.78	0.91
1320	0.91	0.89	0.95
1380	0.91	0.86	0.96
1440	0.94	0.91	0.97
1560	0.94	0.92	0.97
1620	0.94	0.92	0.97
1680	0.94	0.92	0.96
1740	0.95	0.92	0.98
1800	0.94	0.92	0.95
1860	0.94	0.93	0.96
1920	0.95	0.92	0.97
2040	0.94	0.92	0.96
2340	0.96	0.93	0.98
2640	0.96	0.93	0.99
2940	0.96	0.93	0.98
3240	0.96	0.93	0.99
3540	0.97	0.92	0.98
3840	0.96	0.93	0.99
4140	0.96	0.92	0.99
4440	0.96	0.93	0.99
4740	0.98	0.93	1.01
5040	0.97	0.93	1.02
5340	0.96	0.93	1
5640	0.97	0.93	1.01
5940	0.97	0.92	1.01
6240	0.98	0.93	1.02
