1	1.03	0.99	1.04
60	0.99	0.98	1.03
120	0.99	0.96	1
180	0.98	0.97	1
240	0.98	0.95	1
300	1.01	0.97	1.02
360	0.99	0.96	1
420	0.99	0.94	1.04
480	0.99	0.89	1.01
540	0.96	0.9	0.99
600	3.13	2.67	3.57
660	3.37	2.9	3.67
720	3.48	3.24	3.96
780	3.64	3.13	4.11
840	3.7	3.02	4.04
900	3.7	3.32	3.89
960	3.69	3.04	3.98
1020	3.69	3.09	3.91
1080	3.67	3.01	3.92
1140	3.46	2.89	3.93
1200	1.87	1.54	1.96
1260	1.2	1.08	1.36
1320	1.15	0.98	1.26
1380	1.12	0.96	1.26
1440	1.07	0.93	1.18
1500	1.06	1	1.11
1560	1.04	0.98	1.18
1620	1.02	0.93	1.11
1680	1.06	0.96	1.14
1740	1.08	0.99	1.33
1800	1.06	1.01	1.21
1860	1.03	0.93	1.21
2040	0.98	0.97	1.05
2340	0.99	0.96	1.07
2640	1.03	0.95	1.13
2940	1.04	0.94	1.19
3240	0.99	0.9	1.25
3540	1.01	0.92	1.16
3840	0.96	0.91	1.02
4140	0.88	0.8	0.95
4440	0.91	0.78	0.99
4740	0.92	0.77	1.01
5040	0.86	0.76	0.99
5340	0.94	0.76	1.01
5640	0.88	0.81	1.01
5940	0.93	0.75	1.05
6240	0.9	0.73	1.04

